카테고리,상품명,창고,설명,공급가,택배사,택배비,면과세,사진,노출
수산물,통통 순살 갈치 1팩,충무,충무 공급,3500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 바다장어 1kg,충무,충무 공급,10500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 국산 토막갈치 1kg,충무,충무 공급,13800,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 대왕 고등어 1kg,충무,충무 공급,6300,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 오만둥이 1kg,충무,충무 공급,1700,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 급냉 고등어 1kg,충무,충무 공급,6300,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 다듬이 홍합 2kg,충무,충무 공급,2500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 피조개 3kg,충무,충무 공급,7500,씨제이대한통운/롯데택배,4000,면세,,표시
수산물,통통 매생이 400g,충무,충무 공급,4200,씨제이대한통운 / 롯데택배,4000,면세,,표시
수산물,실장님 초장,충무,충무 공급,500,씨제이대한통운 / 롯데택배,4000,면세,,표시
생활용품,찐한국 숨결고체가글 24정,찐한국,찐한국 공급,3800,한진택배,2500,과세,living-1.webp,표시
생활용품,찐한국 그냥치약 100g,찐한국,찐한국 공급,3400,한진택배,2500,과세,living-2.webp,표시
생활용품,찐한국 손결 핸드워시 300ml,찐한국,찐한국 공급,3300,한진택배,2500,과세,living-3.webp,표시
생활용품,찐한국 주방세제 500ml,찐한국,찐한국 공급,3100,한진택배,2500,과세,living-4.webp,표시
생활용품,찐한국 고무장갑 그레이,찐한국,찐한국 공급,3000,한진택배,2500,과세,living-5.webp,표시
생활용품,찐한국 고무장갑 퍼플,찐한국,찐한국 공급,3000,한진택배,2500,과세,living-6.webp,표시
축산물,초특가 소곱창 160g,하남,하남 공급,3900,롯데택배,4000,과세,,표시
축산물,초특가 갈비살 200g,하남,하남 공급,5700,롯데택배,4000,면세,,표시
축산물,도가니곰탕 600g,하남,하남 공급,3600,롯데택배,4000,과세,,표시
수산물,맛상 회오리감자 1팩,하남,하남 공급,5500,롯데택배,4000,과세,,표시
간편식품·밀키트,맛상 소떡소떡 1.3kg,하남,하남 공급,5500,롯데택배,4000,과세,meal-3.webp,표시
떡·간식,맛상 순대강정 1kg,하남,하남 공급,5000,롯데택배,4000,과세,,표시
농산물·과일,폭탄 맛감자 2kg,하남,하남 공급,6000,롯데택배,4000,과세,,표시
농산물·과일,폭탄 스틱 감자튀김 2kg,하남,하남 공급,4000,롯데택배,4000,과세,,표시
간편식품·밀키트,맛상 새떡새떡 800g,하남,하남 공급,13000,롯데택배,4000,과세,,표시
수산물,꼬소 새우치즈볼 600g,하남,하남 공급,8000,롯데택배,4000,과세,meal-1.webp,표시
간편식품·밀키트,양념 돼지왕구이 200g,하남,하남 공급,2700,롯데택배,4000,과세,,표시
축산물,양갈비 통 숄더렉 850g급,하남,하남 공급,30000,롯데택배,4000,면세,,표시
간편식품·밀키트,맛상 양 티본 스테이크 500g,하남,하남 공급,10000,롯데택배,4000,면세,,표시
축산물,일품 한돈 제육 180g,하남,하남 공급,2900,롯데택배,4000,과세,,표시
